"DB ID","Date","Time","Product Name","Instrument Serial Number","Parameter Name","Result","UDF1","UDF2","UDF3","UDF4","UDF5","UDF6","Cancelled Flag"
"1.811","31 Agt 2023","10.38.35","Press Cake Fibre No. 1","91899834","Oil/WM","4.59",,,,,,,"0"
"1.811","31 Agt 2023","10.38.35","Press Cake Fibre No. 1","91899834","VM","40.92",,,,,,,"0"
"1.811","31 Agt 2023","10.38.35","Press Cake Fibre No. 1","91899834","Oil/DM","7.77",,,,,,,"0"
"1.811","31 Agt 2023","10.38.35","Press Cake Fibre No. 1","91899834","NOS","54.49",,,,,,,"0"
