"DB ID","Date","Time","Product Name","Instrument Serial Number","Parameter Name","Result","UDF1","UDF2","UDF3","UDF4","UDF5","UDF6","Cancelled Flag"
"10,312","31-Aug-23","16:52:14","Press Cake Fibre No. 2","91908989","Oil/WM","3.72",,,,,,,"0"
"10,312","31-Aug-23","16:52:14","Press Cake Fibre No. 2","91908989","VM","30.85",,,,,,,"0"
"10,312","31-Aug-23","16:52:14","Press Cake Fibre No. 2","91908989","Oil/DM","5.37",,,,,,,"0"
"10,312","31-Aug-23","16:52:14","Press Cake Fibre No. 2","91908989","NOS","65.44",,,,,,,"0"
