"DB ID","Date","Time","Product Name","Instrument Serial Number","Parameter Name","Result","UDF1","UDF2","UDF3","UDF4","UDF5","UDF6","Cancelled Flag"
"10,209","30-Aug-23","13:53:14","Press Cake Fibre No. 4","91908989","Oil/WM","3.67",,,,,,,"0"
"10,209","30-Aug-23","13:53:14","Press Cake Fibre No. 4","91908989","VM","36.92",,,,,,,"0"
"10,209","30-Aug-23","13:53:14","Press Cake Fibre No. 4","91908989","Oil/DM","5.82",,,,,,,"0"
"10,209","30-Aug-23","13:53:14","Press Cake Fibre No. 4","91908989","NOS","59.41",,,,,,,"0"
