"DB ID","Date","Time","Product Name","Instrument Serial Number","Parameter Name","Result","UDF1","UDF2","UDF3","UDF4","UDF5","UDF6","Cancelled Flag"
"10,341","31-Aug-23","23:33:38","Empty Bunch Stalk","91908989","Oil/WM","17.83",,,,,,,"0"
"10,341","31-Aug-23","23:33:38","Empty Bunch Stalk","91908989","VM","49.63",,,,,,,"0"
"10,341","31-Aug-23","23:33:38","Empty Bunch Stalk","91908989","Oil/DM","35.4",,,,,,,"0"
"10,341","31-Aug-23","23:33:38","Empty Bunch Stalk","91908989","NOS","32.54",,,,,,,"0"
