"DB ID","Date","Time","Product Name","Instrument Serial Number","Parameter Name","Result","UDF1","UDF2","UDF3","UDF4","UDF5","UDF6","Cancelled Flag"
"10,208","30-Aug-23","13:51:35","Press Cake Fibre No. 2","91908989","Oil/WM","4.23",,,,,,,"0"
"10,208","30-Aug-23","13:51:35","Press Cake Fibre No. 2","91908989","VM","35.87",,,,,,,"0"
"10,208","30-Aug-23","13:51:35","Press Cake Fibre No. 2","91908989","Oil/DM","6.59",,,,,,,"0"
"10,208","30-Aug-23","13:51:35","Press Cake Fibre No. 2","91908989","NOS","59.9",,,,,,,"0"
