"DB ID","Date","Time","Product Name","Instrument Serial Number","Parameter Name","Result","UDF1","UDF2","UDF3","UDF4","UDF5","UDF6","Cancelled Flag"
"10,206","30-Aug-23","11:43:31","Press Cake Fibre No. 5","91908989","Oil/WM","4.41",,,,,,,"0"
"10,206","30-Aug-23","11:43:31","Press Cake Fibre No. 5","91908989","VM","35.9",,,,,,,"0"
"10,206","30-Aug-23","11:43:31","Press Cake Fibre No. 5","91908989","Oil/DM","6.87",,,,,,,"0"
"10,206","30-Aug-23","11:43:31","Press Cake Fibre No. 5","91908989","NOS","59.69",,,,,,,"0"
